상호명,상가업소번호,지점명,건물명,경도,위도
365당구장,16666005,,,129.2746887,35.55180488
365마트,20353668,,울산수협,129.4499792,35.61835806
365종합악기교실,16466603,,,129.2703516,35.55232835
365통큰오리,20347682,,,129.3328028,35.54395702
365파닭,20513814,,,129.2581809,35.55196926
365하수구뚫어전문,24854936,,,129.3392486,35.63769283
369마라공방,17090642,,,129.2801015,35.41196153
369모텔,12665355,,,129.2621161,35.54971991
370,16224523,,,129.3481797,35.63567344
38CHIKEN&BEER,17253830,,문수로2차아이파크2단지,129.3042565,35.53676125
39도시락,17171954,호계점,,129.3554012,35.62985117
39번상회,24957198,,농수산물도매시장,129.34178,35.538026
3H스마트지압침대,16450577,무거센터,,129.2651434,35.55076976
3MSOLUTION울산지,24298238,,,129.3557774,35.63447958
3M광택코팅셀프세차전문점,19936731,,,129.4193541,35.48413238
3M안전보호구백화점,25761822,,,129.3449421,35.53654869
3관김쌤수학과학학원,24496585,,,129.4254195,35.50747671
3급동경자동차정비,25997445,,동경자동차정비,129.3689773,35.5830557
3대광고,21057093,,,129.2685344,35.55109466
3대할매추어탕,19940413,,,129.3295208,35.54488554
3번지막창,17257192,삼산점,,129.3330355,35.53668991
3번청과,24670667,,농수산물도매시장,129.34178,35.538026
3층,25368479,,,129.3319878,35.53935133
3쿠션,19917739,,,129.3094756,35.54578989
3호점,22797161,,,129.0397229,35.61748672
4000삼겹살,12536154,,,129.4271039,35.54036318
405,20721840,,,129.3380191,35.53997856
425ml철수맥주,23758936,,,129.1144607,35.56158544
425철수맥주,12491354,,,129.2835713,35.40929281
42번가레스토랑,26579205,,,129.2607769,35.54378524
435번길,16064149,,,129.3011012,35.53461416
4455콩,20284903,,현대패밀리상가,129.4328659,35.52828959
45RPM,26581431,,,129.3205559,35.55502462
4C,24364450,,,129.2614158,35.54725764
4℃,14235566,,,129.3132883,35.54560422
4호점,23362494,,,129.0397229,35.61748672
50호옷수선,17201355,,,129.310302,35.54235594
52미리음악학원,15484416,,울산폴리프라자,129.3379385,35.54043912
52번길생고기,12626778,,,129.2587619,35.5404534
55청과,24528811,,농수산물도매시장,129.34178,35.538026
5665번지부동산,15486068,,,129.2545404,35.53987549
59삼겹살,16697273,,,129.4113486,35.48067514
59송송구이,23409850,,,129.3109445,35.5343994
59참숯갈비살,17008460,,,129.3510381,35.54301501
59피자,23207105,,지에스프라자,129.2405551,35.57478391
59피자,17117836,송정점,반도유보라아이비파크,129.3664448,35.60153397
59피자,25297496,,A동,129.3438606,35.63025988
59피자,20084799,성안점,,129.3081609,35.57551125
5BAR,15960324,,,129.4262758,35.49730892
5m,16987003,,,129.4461888,35.62179244
5관금강태권도,16567799,,,129.3490249,35.65311297
5번가,21529904,,,129.3228067,35.55507205
5번가비어,23417801,,,129.2604731,35.55115216
5분에책1권읽기강남진로센터,16650209,,,129.3224047,35.53999759
5성광호,24448397,,다솜빌,129.4266068,35.49545734
5시5막창팩토리,16770473,,,129.3443288,35.58897529
5시5막창팩토리,12522158,,,129.3431155,35.56917823
5호점,20541169,,,129.0397229,35.61748672
6.3세탁전문점,25999887,,,129.3269407,35.5295106
6000컷,16386096,,무궁화아파트,129.311513,35.42760503
605헤어샵,14159565,,양정힐스테이트,129.3831397,35.55200655
60계,12661814,강동점,블루마시티효성해링턴플레이스2단지,129.4392184,35.63505265
60계,17140281,울산수암점,,129.3177256,35.52629482
60계,16993203,삼산점,,129.3355623,35.53678813
60계,17431773,,,129.4287305,35.54192118
60계울산,13181985,강동점,블루마시티효성해링턴플레이스2단지,129.4392184,35.63505265
60계치킨,16605897,울산남목점,,129.4267001,35.54246798
60계치킨,12076740,울산천곡점,아진프라자복합상가,129.3387294,35.63105607
60계치킨,17046225,신정점,문수로2차아이파크2단지,129.3042565,35.53676125
60계치킨,17086163,옥동점,,129.2906083,35.53558316
60계치킨,12075650,,,129.2240538,35.5633707
60계치킨,16149403,울산매곡점,,129.3624342,35.63900104
60계치킨,15979912,울산온양점,,129.2834737,35.40799593
60계치킨,16073763,화봉점,,129.369724,35.59191597
60계치킨,17012000,우정태화점,,129.3035827,35.55712912
619-구번지,17138280,,,129.4286524,35.51201706
63노래방,25998311,,,129.1255098,35.56843202
63뷔페,20840894,,,129.1255098,35.56843202
63뷔페웨딩홀,25715062,,,129.1255098,35.56843202
63주꾸미족발,14058114,,,129.318935,35.52811126
643키친,17012280,,,129.3457392,35.55653975
64innHOTEL,16027200,,,129.330416,35.54833669
665블럭레스토랑,22906387,,,129.3112349,35.5339546
67번가,16509860,,,129.3105538,35.43296932
69덮밥,17151726,,,129.3243636,35.54713247
69싸닭,17128749,,,129.4108292,35.47932925
6번회집,11901570,,일반부두경비초소,129.3851175,35.50795522
6월17일,26577688,,,129.3301153,35.53881319
6호점,22688712,,,129.0397229,35.61748672
7080단란주점,16768100,,,129.4253075,35.54042048
7080옛날통닭,16033951,,,129.1074437,35.54142424
7080올드팝스레스토랑,23177908,,,129.4297551,35.51141815
7080콘서트,26000549,,병영새마을금고,129.3453202,35.58096069
7080포세이돈,26580980,,,129.3296003,35.54235199
7080향수라이브,16971328,,,129.2826592,35.41425982
74족발,12553445,본점,,129.3404413,35.54372813
74족발,12568030,호계점,,129.3517513,35.62813466
74족발,20537804,,,129.3326602,35.53600005
75번상회,24951838,,농수산물도매시장,129.34178,35.538026
77불닭발,17206475,,,129.3237022,35.5458058
78열이짬뽕,16607460,,,129.3100386,35.5749681
79대포,17164247,울산명촌점,,129.3578208,35.55679184
79대포,16559196,울산대점,,129.2607639,35.54295617
79치킨,17061974,,,129.3342673,35.55713593
7pm펜션,28512671,,,129.4459435,35.62166019
7년만의외출,28505011,,,129.4317165,35.49150319
7번가,24592906,,,129.346316,35.57190051
7번가왕족발,25998069,,,129.1121163,35.56914219
7번가왕족발,12488483,,경동상가,129.2243665,35.56362891
7번가피자,14299953,일산전하점,,129.4267256,35.50280154
7번가피자,12525023,약사병영점,약사I-PARK,129.337111,35.57162443
7번가피자,12478120,우정혁신점,,129.2970172,35.56038156
7번가피자,20857082,공업탑점,,129.3071558,35.53399888
7번가피자아진점,19939102,아진점,,129.3378704,35.63118279
7번가피자우정혁신점,12670423,우정혁신점,,129.2975988,35.55129911
7호점,22802126,,,129.0397229,35.61748672
808웨스트도어,16588096,,,129.2883146,35.53695064
80돼지집,15978135,,,129.3086016,35.43074619
80호텔레스토랑,15484338,,,129.3372934,35.53877886
80호텔레스토랑hotelrestaurant,15972886,,,129.3372934,35.53877886
815컴,26000608,,,129.2563948,35.53928835
81헤어,16204999,,,129.314075,35.54042213
82가든,23382338,,,129.3247048,35.53434817
83,17039001,,,129.3325821,35.53928167
83돼지집,17150260,,,129.3374155,35.53550576
83왕소금구이,16650587,본점,,129.4306684,35.5237461
84호,16368839,,,129.4500115,35.61892547
84호,24425893,,,129.4459471,35.62185843
85.3,15986419,,,129.314615,35.54310215
85sbarbershop,12526675,,삼행빌딩,129.3388967,35.54235728
85sbarbershop,25460491,,,129.332505,35.54128343
85국밥,17025690,,,129.3428829,35.57044265
85국밥,16343352,,,129.3238847,35.5421535
85도C,12594464,,강남아파트,129.3158604,35.53631072
85포크,11990190,,,129.3297101,35.56235977
87US,16279322,,,129.3326065,35.5354238
88실비포장집,22887196,,,129.3150556,35.53158762
88안드레,15964184,,,129.2473995,35.56866547
88한우곱창전골,20661943,,,129.3303047,35.52356996
8DAYS레스토랑,25647215,,,129.4465048,35.62156332
8군돈까스,17019673,,,129.3225589,35.5393109
8데이,19966597,,,129.4465048,35.62156332
